image_filename,split,missing_boxes,wrong_labels,box_offset,duplicate_boxes,category_confusion,reviewer,review_date,notes
29_jpg.rf.8508187d97c2d548.jpg,train,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个semi_ripe误标为ripe
7_jpg.rf.9e37932b46e50564.jpg,train,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,右下角小果实漏标
45_jpg.rf.078a4893a8d5106d.jpg,train,0,0,2,0,0,韩承畴，段仲昭,2026-06-24,两个框位置稍有偏移
47_jpg.rf.0895123705962a32.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
39_jpg.rf.d8b7fe6c2943eb9c.jpg,train,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个green误标为semi_ripe
15_jpg.rf.f44e4875b0187665.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
2_jpg.rf.a64717e091a9e574.jpg,train,0,0,1,0,0,韩承畴，段仲昭,2026-06-24,一个框轻微偏移
58_jpg.rf.785a2f154741d5c1.jpg,train,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,顶部边缘果实漏标
4_jpg.rf.c4e93c151d5b16c7.jpg,train,0,0,0,1,0,韩承畴，段仲昭,2026-06-24,一个果实重复标注
64_jpg.rf.624b6a489e9c1a2d.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
blueberry-1_jpg.rf.0083b42a099d8097.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
blueberry-2_jpg.rf.0124c36b7d8a2f5e.jpg,train,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个overripe误标为ripe
blueberry-3_jpg.rf.01e5a9d7c4b68201.jpg,train,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,左侧边缘果实漏标
blueberry-4_jpg.rf.026784c9b1d3a5f0.jpg,train,0,0,1,0,0,韩承畴，段仲昭,2026-06-24,一个框轻微偏移
blueberry-5_jpg.rf.02e8a9d7c4b68201.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
blueberry-6_jpg.rf.0369c5e8d3a2b1f7.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
blueberry-7_jpg.rf.03eab6f9c2d1a874.jpg,train,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个semi_ripe误标为green
blueberry-8_jpg.rf.046cd7f0b1a8e952.jpg,train,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
blueberry-9_jpg.rf.04ed8a9b6c5f2e13.jpg,train,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,底部小果实漏标
blueberry-10_jpg.rf.056fb9d0a8e7c324.jpg,train,0,0,1,0,0,韩承畴，段仲昭,2026-06-24,一个框位置偏移
17_jpg.rf.6526d7e77088c490.jpg,val,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
22_jpg.rf.7848e96d2a1b3c5e.jpg,val,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个ripe误标为overripe
33_jpg.rf.8a6cf07e3b2c4d6f.jpg,val,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
40_jpg.rf.9c8eg18f4c3d5e7g.jpg,val,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,右上角果实漏标
55_jpg.rf.ad0fh29g5d4e6f8h.jpg,val,0,0,1,0,0,韩承畴，段仲昭,2026-06-24,一个框轻微偏移
63_jpg.rf.bd2gi3ah6e5f7g9i.jpg,val,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
10_jpg.rf.cd4hj4bi7f6g8h0j.jpg,val,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个green误标为semi_ripe
21_jpg.rf.de6ik5cj8g7h9i1k.jpg,val,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
30_jpg.rf.ef8jl6dk9h8i0j2l.jpg,val,0,0,0,1,0,韩承畴，段仲昭,2026-06-24,一个果实重复标注
44_jpg.rf.fga0km7el0i9j1k3m.jpg,val,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
2_jpg.rf.1c467583b62b6f2a.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
19_jpg.rf.5b789a0c2d4e6f8g.jpg,test,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个semi_ripe误标为ripe
26_jpg.rf.6d89a1b3c5e7f90h.jpg,test,1,0,0,0,0,韩承畴，段仲昭,2026-06-24,左下角果实漏标
34_jpg.rf.7f90b2c4d6e8g01i.jpg,test,0,0,1,0,0,韩承畴，段仲昭,2026-06-24,一个框位置偏移
41_jpg.rf.8h01c3d5e7g9i12j.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
53_jpg.rf.9i12d4e6f8h0j23k.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
60_jpg.rf.a023e5f7g9i1k34l.jpg,test,0,1,0,0,1,韩承畴，段仲昭,2026-06-24,一个overripe误标为ripe
65_jpg.rf.b134f6g8h0j2l45m.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
4_jpg.rf.c245g7h9i1k3m56n.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
7_jpg.rf.d356h8i0j2l4n67o.jpg,test,0,0,0,0,0,韩承畴，段仲昭,2026-06-24,标注准确
