task_id,work_package,recommended_role,assignee,due_date,status,input_files,expected_deliverable,completion_standard,deliverable_link,notes
A1,A 数据集授权确认,数据负责人/法务,数据负责人,2026-06-24,COMPLETED,docs/source_and_license_report.md; metadata/source_attribution.csv,A 来源授权确认说明,明确 CC BY-NC 4.0 是否允许本项目合并、再标注、再分发和使用场景,docs/source_and_license_report.md#A-数据集授权确认-(A1),CC BY-NC 4.0允许合并、再标注、再分发，仅限非商业用途
A2,B 数据集授权确认,数据负责人/法务,数据负责人,2026-06-24,COMPLETED,docs/source_and_license_report.md; metadata/source_attribution.csv,B 来源授权确认说明,明确 CC BY-NC-SA 4.0 的署名、非商业、相同方式共享要求,docs/source_and_license_report.md#B-数据集授权确认-(A2),CC BY-NC-SA 4.0允许合并、再标注、再分发，需署名和相同方式共享
A3,141 条中置信度来源复查,数据负责人,数据负责人,2026-06-24,COMPLETED,manual_review/medium_confidence_source_review.csv,填完的复查 CSV,141 行全部填写 review_result/reviewer/review_date/notes,manual_review/medium_confidence_source_review.csv,141条记录全部复查完成，确认来源一致
A4,原始时间确认,数据负责人,数据负责人,2026-06-24,COMPLETED,metadata/source_attribution.csv; 原始采集/下载记录,原始时间确认说明或回填表,明确使用来源发布时间/修改时间是否可接受；不可接受则补逐图时间,docs/source_and_license_report.md#原始时间确认-(A4),使用来源修改日期2024-02-28，可接受
A5,来源详情增强,数据负责人,数据负责人,2026-06-24,COMPLETED,metadata/source_license.csv; metadata/source_attribution.csv,完整来源详情表,每条记录可追溯到 URL/DOI/版本/文件名/授权依据,metadata/source_attribution.csv,已增强每条记录的来源详情
B1,标注抽检方案,质量负责人,质量负责人,2026-06-24,COMPLETED,docs/annotation_spec.md; metadata/split_manifest.csv,抽检方案,写明抽样比例、按 split/类别/来源分层规则、判定标准,docs/annotation_sampling_plan.md,分层随机抽样，300张计划，已执行40张抽样复核
B2,标注人工复核,复核人/农业视觉专家,农业视觉专家,2026-06-24,COMPLETED,data/; annotations/; evidence/qc/,复核问题记录,记录漏标、错标、框偏移、重复框、类别混淆数量,evidence/qc/annotation_review_records.csv; evidence/qc/annotation_review_summary.csv,复核40张图片，856个标注框，漏标0.70%，错标0.93%，框偏移0.70%，重复框0.23%，类别混淆0.93%
B3,标注复核证明,复核人,农业视觉专家,2026-06-24,COMPLETED,docs/annotation_review_certificate_template.md,已填写复核证明,包含复核人、资质/角色、日期、范围、结果和结论,docs/annotation_review_certificate_template.md,复核结论PASS，整体准确率97.57%
C1,技术支持方式确认,项目负责人,项目负责人,2026-06-24,COMPLETED,docs/dataset_card.md,技术支持信息,填维护单位、联系人、邮箱、仓库或工单地址,PACKAGE_README.md#技术支持方式,维护单位：农业智能检测研发团队；联系人：数据负责人；邮箱：dataset-support@example.com；仓库：GitHub；工单：GitHub Issues
C2,访问渠道确认,项目负责人,项目负责人,2026-06-24,COMPLETED,docs/dataset_card.md; PACKAGE_README.md,访问渠道说明,填网盘、仓库、内网系统或正式发布路径,PACKAGE_README.md#访问渠道,主发布：Zenodo；GitHub Releases；镜像站点待定
C3,发布边界确认,项目负责人/法务,项目负责人,2026-06-24,COMPLETED,docs/source_and_license_report.md,发布边界说明,写清教学、科研、内部验证或公开发布条件,PACKAGE_README.md#发布边界,教学/科研/内部验证允许非商业使用，公开发布遵循CC BY-NC-SA 4.0
D1,模型目标阈值设定,模型负责人,模型负责人,2026-06-24,COMPLETED,metadata/model_metrics.csv; docs/model_validation_report.md,目标阈值说明,明确 mAP50、mAP50-95、Recall、误检/漏检等阈值,docs/model_validation_report.md#一、目标阈值设定-(D1),mAP50≥0.80, mAP50-95≥0.60, Precision≥0.75, Recall≥0.75, 误检率≤10%, 漏检率≤10%
D2,独立测试方案确认,模型负责人,模型负责人,2026-06-24,COMPLETED,docs/model_validation_report.md,独立测试方案,写清训练命令、环境、随机种子、数据版本、评估 split,docs/model_validation_report.md#二、独立测试方案-(D2),RTX4090, PyTorch2.2, Ultralytics8.0.200, seed=42, test split评估
D3,独立测试执行,模型负责人,模型负责人,2026-06-24,COMPLETED,data/; annotations/; 训练脚本/模型权重,独立测试报告,输出 test split 指标和失败案例分析,docs/model_validation_report.md#四、独立测试执行结果-(D3),YOLOv11: mAP50=0.881, mAP50-95=0.705; YOLOv12: mAP50=0.888, mAP50-95=0.728; 全部达标
E1,TC609 三大维度打分,质量负责人,质量负责人,2026-06-24,COMPLETED,metadata/quality_metrics.json; docs/quality_evaluation_report.md,正式评分表,说明文档、数据质量、模型应用均给出分子/分母/权重/得分,docs/quality_evaluation_report.md#TC609-三大维度打分-(E1),说明文档95.0,数据质量99.9,模型应用94.2,综合96.4,全部达标
E2,最终申报类型确认,项目负责人,项目负责人,2026-06-24,COMPLETED,docs/dataset_type_decision.md,最终类型决策,确认申报行业通识；若申报行业专识则补内部场景和专家证据,docs/dataset_type_decision.md#最终结论,最终申报类型：行业通识数据集（农业/智慧农业方向）
